"ID","Address","City","State","Zip","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side"
201568,"406 EAST BODENHAMER ST","KERNERSVILLE","NC",27284,36.118122355,-80.067013004,68,"406 EAST BODENHAMER ST, KERNERSVILLE, NC, 27284","Match","Exact","406 E BODENHAMER ST, KERNERSVILLE, NC, 27284",84619152,"R"
201569,"406 EAST CHELTEN AVE 1ST FLOOR","PHILADELPHIA","PA",19144,40.040766498,-75.169644838,69,"406 EAST CHELTEN AVE 1ST FLOOR, PHILADELPHIA, PA, 19144","Match","Exact","406 E CHELTEN AVE, PHILADELPHIA, PA, 19144",131395825,"R"
201570,"406 EAST DAVIS STREET","SMITHFIELD","NC",27577,35.505796902,-78.347343554,70,"406 EAST DAVIS STREET, SMITHFIELD, NC, 27577","Match","Exact","406 E DAVIS ST, SMITHFIELD, NC, 27577",26524548,"L"
201571,"406 EAST POINTE DRIVE","ITHACA","NY",14850,NA,NA,71,"406 EAST POINTE DRIVE, ITHACA, NY, 14850","No_Match",NA,NA,NA,NA
201572,"406 ESSEX ROAD","EAST MEADOW","NY",11544,NA,NA,72,"406 ESSEX ROAD, EAST MEADOW, NY, 11544","No_Match",NA,NA,NA,NA
201573,"406 FIRESIDE DRIVE","COLUMBIA","SC",29212,34.076363886,-81.17116786,73,"406 FIRESIDE DRIVE, COLUMBIA, SC, 29212","Match","Exact","406 FIRESIDE DR, COLUMBIA, SC, 29212",70049318,"L"
201574,"406 FISHEL AVENUE EXTENSION","RIVERHEAD","NY",11901,NA,NA,74,"406 FISHEL AVENUE EXTENSION, RIVERHEAD, NY, 11901","No_Match",NA,NA,NA,NA
201575,"406 GHENT ST","WINDSOR","NC",27983,35.997916294,-76.953154635,75,"406 GHENT ST, WINDSOR, NC, 27983","Match","Exact","406 GHENT ST, WINDSOR, NC, 27983",56516371,"R"
201576,"406 GLENBURNIE DR","HOUSTON","TX",77022,29.838581908,-95.395500678,76,"406 GLENBURNIE DR, HOUSTON, TX, 77022","Match","Exact","406 GLENBURNIE DR, HOUSTON, TX, 77022",96054895,"R"
201577,"406 HANNAH MCKENZIE DRIVE","GREENSBORO","NC",27455,36.153331785,-79.792002627,77,"406 HANNAH MCKENZIE DRIVE, GREENSBORO, NC, 27455","Match","Exact","406 HANNAH MCKENZIE DR, GREENSBORO, NC, 27455",131131757,"R"
201578,"406 HANOVER AVE","ALLENTOWN","PA",18109,40.611539576,-75.4484055189999,78,"406 HANOVER AVE, ALLENTOWN, PA, 18109","Match","Exact","406 HANOVER AVE, ALLENTOWN, PA, 18109",80771997,"R"
201579,"406 HAZLETT AVE","WHEELING","WV",26003,40.1069713850001,-80.701976282,79,"406 HAZLETT AVE, WHEELING, WV, 26003","Match","Exact","406 HAZLETT AVE, WHEELING, WV, 26003",38088172,"R"
201580,"406 HERRICKS RD","MINEOLA","NY",11501,40.7486110290001,-73.657553792,80,"406 HERRICKS RD, MINEOLA, NY, 11501","Match","Exact","406 HERRICKS RD, MINEOLA, NY, 11501",147671452,"R"
201581,"406 HOPSON STREET","TUTWILER","MS",38963,34.0175963520001,-90.4370985049999,81,"406 HOPSON STREET, TUTWILER, MS, 38963","Match","Exact","406 HOPSON ST, TUTWILER, MS, 38963",1103913,"R"
201582,"406 HUNTOON RD","ST. JOSEPH","MO",64505,39.816354577,-94.8632728109999,82,"406 HUNTOON RD, ST. JOSEPH, MO, 64505","Match","Non_Exact","406 NW HUNTOON RD, SAINT JOSEPH, MO, 64505",647718655,"R"
201583,"406 INTERN WAY","DURHAM","NC",27713,35.879176595,-78.951560864,83,"406 INTERN WAY, DURHAM, NC, 27713","Match","Exact","406 INTERN WAY, DURHAM, NC, 27713",71767500,"R"
201584,"406 JEFF DAVIS AVE","WAVELAND","MS",39576,30.293123225,-89.370450666,84,"406 JEFF DAVIS AVE, WAVELAND, MS, 39576","Match","Exact","406 JEFF DAVIS AVE, WAVELAND, MS, 39576",111132109,"L"
201585,"406 JEFFERSON ST","LIVINGSTON","AL",35470,32.580878383,-88.187556392,85,"406 JEFFERSON ST, LIVINGSTON, AL, 35470","Match","Exact","406 JEFFERSON ST, LIVINGSTON, AL, 35470",663329,"L"
201586,"406 JEFFERSON STREET","STERLING","CO",80751,40.631528992,-103.217728576,86,"406 JEFFERSON STREET, STERLING, CO, 80751","Match","Exact","406 JEFFERSON ST, STERLING, CO, 80751",136181138,"L"
201587,"406 JIPSON STREET","BLISSFIELD","MI",49228,41.8259463000001,-83.855856825,87,"406 JIPSON STREET, BLISSFIELD, MI, 49228","Match","Exact","406 JIPSON ST, BLISSFIELD, MI, 49228",25950190,"L"
201588,"406 JUNIPER CT","SOMERSET","NJ",8873,40.52697669,-74.51931727,88,"406 JUNIPER CT, SOMERSET, NJ, 8873","Match","Exact","406 JUNIPER CT, SOMERSET, NJ, 08873",650178451,"L"
201589,"406 KASKASKIA RD","MARQUETTE HEIGHTS","IL",61554,40.620298426,-89.594894233,89,"406 KASKASKIA RD, MARQUETTE HEIGHTS, IL, 61554","Match","Exact","406 KASKASKIA RD, MARQUETTE HEIGHTS, IL, 61554",22501010,"R"
201590,"406 LAKE AVE","WORCESTER","MA",1604,42.2498126400001,-71.750078129,90,"406 LAKE AVE, WORCESTER, MA, 1604","Match","Exact","406 LAKE AVE, WORCESTER, MA, 01604",40015204,"R"
201591,"406 LAKE MONTEREY CIRCLE","BOYNTON BEACH","FL",33426,26.4851183010001,-80.089507619,91,"406 LAKE MONTEREY CIRCLE, BOYNTON BEACH, FL, 33426","Match","Exact","406 LAKE MONTEREY CIR, BOYNTON BEACH, FL, 33426",115583146,"R"
201592,"406 LAMONT LANE","HAMPTON","GA",30228,33.4271312320001,-84.381655575,92,"406 LAMONT LANE, HAMPTON, GA, 30228","Match","Exact","406 LAMONT LN, HAMPTON, GA, 30228",627670964,"R"
201593,"406 LAUREL STREET","LAMARQUE","TX",77568,29.375383087,-94.970676136,93,"406 LAUREL STREET, LAMARQUE, TX, 77568","Match","Non_Exact","406 LAUREL ST, LA MARQUE, TX, 77568",96697487,"R"
201594,"406 LEAWOOD DRIVE","FRANKFORT","KY",40601,38.1774996130001,-84.882358175,94,"406 LEAWOOD DRIVE, FRANKFORT, KY, 40601","Match","Exact","406 LEAWOOD DR, FRANKFORT, KY, 40601",97044905,"R"
201595,"406 LEIGH COURT","HIGHLAND VILLAGE","TX",75077,33.087697479,-97.058586964,95,"406 LEIGH COURT, HIGHLAND VILLAGE, TX, 75077","Match","Exact","406 LEIGH CT, HIGHLAND VILLAGE, TX, 75077",103369347,"R"
201596,"406 LINCOLN PARK BLVD","ROCKFORD","IL",61102,42.272967556,-89.147829352,96,"406 LINCOLN PARK BLVD, ROCKFORD, IL, 61102","Match","Exact","406 LINCOLN PARK BLVD, ROCKFORD, IL, 61102",653532229,"L"
201597,"406 MADERA ST","BRENTWOOD","CA",94513,37.931422459,-121.684700386,97,"406 MADERA ST, BRENTWOOD, CA, 94513","Match","Exact","406 MADERA ST, BRENTWOOD, CA, 94513",647702938,"L"
201598,"406 MADISON STREET","JOLIET","IL",60435,41.5302987310001,-88.134707278,98,"406 MADISON STREET, JOLIET, IL, 60435","Match","Exact","406 MADISON ST, JOLIET, IL, 60435",111539514,"R"
201599,"406 MAIN STREET - SUITE D","VACAVILLE","CA",95688,38.356635236,-121.988447223,99,"406 MAIN STREET - SUITE D, VACAVILLE, CA, 95688","Match","Exact","406 MAIN ST, VACAVILLE, CA, 95688",192534498,"R"
201600,"406 MAIN STREET","HENRIETTA","MO",64036,39.2348705110001,-93.936092381,100,"406 MAIN STREET, HENRIETTA, MO, 64036","Match","Exact","406 MAIN ST, HENRIETTA, MO, 64036",20976160,"R"
201601,"406 MAIN STREET","PLEASANT PLAINS","AR",72568,35.55629658,-91.626431289,101,"406 MAIN STREET, PLEASANT PLAINS, AR, 72568","Match","Exact","406 MAIN ST, PLEASANT PLAINS, AR, 72568",41650512,"L"
201602,"406 MALDEN ROAD","COAL CENTER","PA",15423,40.051537088,-79.914866488,102,"406 MALDEN ROAD, COAL CENTER, PA, 15423","Match","Exact","406 MALDEN RD, COAL CENTER, PA, 15423",642124082,"R"
201603,"406 MARCUS GARVEY BLVD 2F","BROOKLYN","NY",11216,40.682934747,-73.9380384529999,103,"406 MARCUS GARVEY BLVD 2F, BROOKLYN, NY, 11216","Match","Exact","406 MARCUS GARVEY BLVD, BROOKLYN, NY, 11216",59079282,"R"
201604,"406 MASSACHUSETTS AVENUE SUITE 3","ARLINGTON","MA",2474,42.4135167750001,-71.149992486,104,"406 MASSACHUSETTS AVENUE SUITE 3, ARLINGTON, MA, 2474","Match","Exact","406 MASSACHUSETTS AVE, ARLINGTON, MA, 02474",86888601,"L"
201605,"406 MCGILL PLACE NE","ATLANTA","GA",30312,33.764960585,-84.3760224059999,105,"406 MCGILL PLACE NE, ATLANTA, GA, 30312","Match","Exact","406 MCGILL PL NE, ATLANTA, GA, 30312",643103980,"R"
201606,"406 MEMORIAL AVE","WESTMONT","NJ",8108,NA,NA,106,"406 MEMORIAL AVE, WESTMONT, NJ, 8108","No_Match",NA,NA,NA,NA
201607,"406 MERRIMAC TRAIL/ APT 14","WILLIAMSBURG","VA",23185,NA,NA,107,"406 MERRIMAC TRAIL/ APT 14, WILLIAMSBURG, VA, 23185","Tie",NA,NA,NA,NA
201608,"406 MONCLA AVE","BELLE CHASSE","LA",70037,29.852174909,-89.997069923,108,"406 MONCLA AVE, BELLE CHASSE, LA, 70037","Match","Exact","406 MONCLA AVE, BELLE CHASSE, LA, 70037",191939455,"R"
201609,"406 MULBERRY ROW","ATLANTA","GA",30354,33.6662071710001,-84.383225505,109,"406 MULBERRY ROW, ATLANTA, GA, 30354","Match","Non_Exact","406 MULBERRY ROW SE, ATLANTA, GA, 30354",636187422,"R"
201610,"406 N  SPRAIN STREET","BELLVILLE","TX",77418,29.955953026,-96.2605275769999,110,"406 N  SPRAIN STREET, BELLVILLE, TX, 77418","Match","Exact","406 N SPRAIN ST, BELLVILLE, TX, 77418",41810585,"L"
201611,"406 N 3RD STREET","MILLVILLE","NJ",8332,39.3996414310001,-75.0358041069999,111,"406 N 3RD STREET, MILLVILLE, NJ, 8332","Match","Exact","406 N 3RD ST, MILLVILLE, NJ, 08332",174112099,"L"
201612,"406 N 4TH ST PO BOX 53","CUBA","IL",61427,NA,NA,112,"406 N 4TH ST PO BOX 53, CUBA, IL, 61427","Tie",NA,NA,NA,NA
201613,"406 N MAIN ST","COUPEVILLE","WA",98239,48.2164878940001,-122.686138204,113,"406 N MAIN ST, COUPEVILLE, WA, 98239","Match","Exact","406 N MAIN ST, COUPEVILLE, WA, 98239",187582413,"L"
201614,"406 N PARK ST","MORAN","KS",66755,37.9168507960001,-95.175266692,114,"406 N PARK ST, MORAN, KS, 66755","Match","Exact","406 N PARK ST, MORAN, KS, 66755",27428639,"L"
201615,"406 NE 4TH STREET","MILFORD","DE",19963,38.9170286510001,-75.423536691,115,"406 NE 4TH STREET, MILFORD, DE, 19963","Match","Exact","406 NE 4TH ST, MILFORD, DE, 19963",648155372,"L"
201616,"406 NEWBERRY STREET","GRAND PRAIRIE","TX",75052,32.6646399320001,-97.00391516,116,"406 NEWBERRY STREET, GRAND PRAIRIE, TX, 75052","Match","Exact","406 NEWBERRY ST, GRAND PRAIRIE, TX, 75052",102981413,"L"
201617,"406 NORTH 4TH STREET","BATON ROUGE","LA",70802,30.450540952,-91.187086032,117,"406 NORTH 4TH STREET, BATON ROUGE, LA, 70802","Match","Exact","406 N 4TH ST, BATON ROUGE, LA, 70802",92181820,"R"
201618,"406 NORTH CASWELL STREET","GLENNVILLE","GA",30427,31.9399305680001,-81.92577027,118,"406 NORTH CASWELL STREET, GLENNVILLE, GA, 30427","Match","Exact","406 N CASWELL ST, GLENNVILLE, GA, 30427",4736055,"L"
201619,"406 NORTH CHEYENNE","HARDIN","MT",59034,45.732518434,-107.604420684,119,"406 NORTH CHEYENNE, HARDIN, MT, 59034","Match","Non_Exact","406 N CHEYENNE AVE, HARDIN, MT, 59034",181623295,"R"
201620,"406 NORTH FOURTH STREET","BATON ROUGE","LA",70802,30.450540952,-91.187086032,120,"406 NORTH FOURTH STREET, BATON ROUGE, LA, 70802","Match","Exact","406 N 4TH ST, BATON ROUGE, LA, 70802",92181820,"R"
201621,"406 NORTH FULTON AVENUE","MOUNT VERNON","NY",10552,40.924408848,-73.831167052,121,"406 NORTH FULTON AVENUE, MOUNT VERNON, NY, 10552","Match","Exact","406 N FULTON AVE, MOUNT VERNON, NY, 10552",139842388,"L"
201622,"406 NORTH OAKHURST DRIVE SUITE 301","BEVERLY HILLS","CA",90210,34.075870348,-118.390944484,122,"406 NORTH OAKHURST DRIVE SUITE 301, BEVERLY HILLS, CA, 90210","Match","Exact","406 N OAKHURST DR, BEVERLY HILLS, CA, 90210",141572012,"R"
201623,"406 NW 7TH CT","NORTH HALLENDALE BEA","FL",33009,25.9932299220001,-80.1528154819999,123,"406 NW 7TH CT, NORTH HALLENDALE BEA, FL, 33009","Match","Non_Exact","406 NW 7TH CT, HALLANDALE, FL, 33009",114736033,"R"
201624,"406 NW CANTERBURY CT","PORT ST LUCIE","FL",34983,27.3568693120001,-80.367618222,124,"406 NW CANTERBURY CT, PORT ST LUCIE, FL, 34983","Match","Exact","406 NW CANTERBURY CT, PORT ST LUCIE, FL, 34983",635801991,"R"
201625,"406 OAK BROOK DRIVE","SALISBURY","NC",28146,35.630874025,-80.4622446719999,125,"406 OAK BROOK DRIVE, SALISBURY, NC, 28146","Match","Exact","406 OAK BROOK DR, SALISBURY, NC, 28146",624923076,"L"
201626,"406 OAK STREET","WINDSOR","CO",80550,40.47465262,-104.902704936,126,"406 OAK STREET, WINDSOR, CO, 80550","Match","Exact","406 OAK ST, WINDSOR, CO, 80550",639796201,"R"
201627,"406 OAKWOOD CIR NE","CLEVELAND","TN",37312,35.2218571340001,-84.812447682,127,"406 OAKWOOD CIR NE, CLEVELAND, TN, 37312","Match","Exact","406 OAKWOOD CIR NE, CLEVELAND, TN, 37312",57575675,"L"
201628,"406 OLD FORT RD","ROCKY MOUNT","VA",24151,36.979294935,-79.8878915079999,128,"406 OLD FORT RD, ROCKY MOUNT, VA, 24151","Match","Exact","406 OLD FORT RD, ROCKY MOUNT, VA, 24151",641465964,"R"
201629,"406 OLIVER STREET","ST MARYS","OH",45885,40.536597278,-84.3884046429999,129,"406 OLIVER STREET, ST MARYS, OH, 45885","Match","Exact","406 OLIVER ST, SAINT MARYS, OH, 45885",36452220,"R"
201630,"406 OSPREY DRIVE","BAREFOOT BAY","FL",32976,27.887470287,-80.509520088,130,"406 OSPREY DRIVE, BAREFOOT BAY, FL, 32976","Match","Exact","406 OSPREY DR, BAREFOOT BAY, FL, 32976",93882050,"R"
201631,"406 PARKINSON ST","MONONGAHELA","PA",15063,40.1994931680001,-79.925790599,131,"406 PARKINSON ST, MONONGAHELA, PA, 15063","Match","Exact","406 PARKINSON ST, MONONGAHELA, PA, 15063",52809043,"L"
201632,"406 PENHALE LANE","HELENA","AL",35080,33.2879393870001,-86.846157922,132,"406 PENHALE LANE, HELENA, AL, 35080","Match","Exact","406 PENHALE LN, HELENA, AL, 35080",82084291,"R"
201633,"406 POLARIS STREET","SAN ANTONIO","TX",78203,29.416960128,-98.458988626,133,"406 POLARIS STREET, SAN ANTONIO, TX, 78203","Match","Non_Exact","406 S POLARIS ST, SAN ANTONIO, TX, 78203",101528661,"L"
201634,"406 POLK ROAD 78","MENA","AR",71953,34.5211534040001,-94.295841057,134,"406 POLK ROAD 78, MENA, AR, 71953","Match","Exact","406 POLK ROAD 78, MENA, AR, 71953",34505488,"L"
201635,"406 RAILROAD STREET","MARKED TREE","AR",72365,35.536238908,-90.423816441,135,"406 RAILROAD STREET, MARKED TREE, AR, 72365","Match","Exact","406 RAILROAD ST, MARKED TREE, AR, 72365",69479183,"R"
201636,"406 REMINGTON DR","MURPHY","TX",75094,33.037934174,-96.620877902,136,"406 REMINGTON DR, MURPHY, TX, 75094","Match","Exact","406 REMINGTON DR, MURPHY, TX, 75094",614183350,"R"
201637,"406 RIVER STREET","MINNEAPOLIS","MN",55401,44.9886207970001,-93.2699463019999,137,"406 RIVER STREET, MINNEAPOLIS, MN, 55401","Match","Exact","406 RIVER ST, MINNEAPOLIS, MN, 55401",43852600,"R"
201638,"406 RUGBY ROAD","SALISBURY","NC",28144,35.7082935350001,-80.476407676,138,"406 RUGBY ROAD, SALISBURY, NC, 28144","Match","Exact","406 RUGBY RD, SALISBURY, NC, 28144",617271959,"R"
201639,"406 S  6 TH ST","ELKVILLE","IL",62932,37.9061085750001,-89.233237725,139,"406 S  6 TH ST, ELKVILLE, IL, 62932","Match","Non_Exact","406 S 6TH ST, ELKVILLE, IL, 62932",95060849,"R"
201640,"406 S BLACKSTONE","JACKSON","MI",49201,42.2445595890001,-84.411775313,140,"406 S BLACKSTONE, JACKSON, MI, 49201","Match","Non_Exact","406 S BLACKSTONE ST, JACKSON, MI, 49201",17616864,"R"
201641,"406 S BLOUNT STREET","MADISON","WI",53703,43.0769297690001,-89.373202328,141,"406 S BLOUNT STREET, MADISON, WI, 53703","Match","Exact","406 S BLOUNT ST, MADISON, WI, 53703",49472576,"R"
201642,"406 S CARROLL SUITE 1000","DENTON","TX",76201,33.211478652,-97.137308345,142,"406 S CARROLL SUITE 1000, DENTON, TX, 76201","Match","Non_Exact","406 CARROLL BLVD, DENTON, TX, 76201",218046806,"L"
201643,"406 S COLUMBUS AVE","MT VERNON","NY",10552,40.904127783,-73.8212068289999,143,"406 S COLUMBUS AVE, MT VERNON, NY, 10552","Match","Non_Exact","406 S COLUMBUS AVE, MOUNT VERNON, NY, 10553",139750559,"R"
201644,"406 S MAPLE ST","SEARCY","AR",72143,NA,NA,144,"406 S MAPLE ST, SEARCY, AR, 72143","Tie",NA,NA,NA,NA
201645,"406 S MIDDLECREEK DR","NAMPA","ID",83686,NA,NA,145,"406 S MIDDLECREEK DR, NAMPA, ID, 83686","Tie",NA,NA,NA,NA
201646,"406 S STARGLEN DR","COVINA","CA",91724,34.082434495,-117.857690417,146,"406 S STARGLEN DR, COVINA, CA, 91724","Match","Exact","406 STARGLEN DR, COVINA, CA, 91724",141727528,"L"
201647,"406 S WALNUT ST","HOPE","AR",71801,33.666261772,-93.5900821979999,147,"406 S WALNUT ST, HOPE, AR, 71801","Match","Exact","406 S WALNUT ST, HOPE, AR, 71801",10860513,"L"
201648,"406 SANTORINI CT","EL PASO","TX",79927,31.666988561,-106.285747296,148,"406 SANTORINI CT, EL PASO, TX, 79927","Match","Exact","406 SANTORINI CT, EL PASO, TX, 79927",189435160,"R"
201649,"406 SAVANNAH AVE","STATESBORO","GA",30458,32.4412780870001,-81.7669573759999,149,"406 SAVANNAH AVE, STATESBORO, GA, 30458","Match","Exact","406 SAVANNAH AVE, STATESBORO, GA, 30458",6115431,"L"
201650,"406 SCANDIA AVE","DES MOINES","IA",50315,41.543344581,-93.609275996,150,"406 SCANDIA AVE, DES MOINES, IA, 50315","Match","Exact","406 SCANDIA AVE, DES MOINES, IA, 50315",65786928,"L"
201651,"406 SHAFER ST APT 414","RICHMOND","VA",23220,37.550110101,-77.4513708169999,151,"406 SHAFER ST APT 414, RICHMOND, VA, 23220","Match","Exact","406 SHAFER ST, RICHMOND, VA, 23220",201539034,"L"
201652,"406 SIERRA VISTA WAY","GUNNISON","CO",81230,38.588598151,-106.932444187,152,"406 SIERRA VISTA WAY, GUNNISON, CO, 81230","Match","Exact","406 SIERRA VISTA WAY, GUNNISON, CO, 81230",108370007,"R"
201653,"406 SILVERCREST TERRACE","BEAVERCREEK","OH",45440,39.684266043,-84.090730636,153,"406 SILVERCREST TERRACE, BEAVERCREEK, OH, 45440","Match","Exact","406 SILVERCREST TER, BEAVERCREEK, OH, 45440",143417083,"L"
201654,"406 SOUTH CLAYMONT ST","WILMINGTON","DE",19801,39.7295304580001,-75.541789686,154,"406 SOUTH CLAYMONT ST, WILMINGTON, DE, 19801","Match","Exact","406 S CLAYMONT ST, WILMINGTON, DE, 19801",187270338,"L"
201655,"406 SOUTH LAKE DRIVE","FARELY","IA",52046,42.4352068740001,-91.0002422009999,155,"406 SOUTH LAKE DRIVE, FARELY, IA, 52046","Match","Non_Exact","406 S LAKE DR, FARLEY, IA, 52046",625453841,"R"
201656,"406 SOUTH LAKE DRIVE","FARLEY","IA",52046,42.4352068740001,-91.0002422009999,156,"406 SOUTH LAKE DRIVE, FARLEY, IA, 52046","Match","Exact","406 S LAKE DR, FARLEY, IA, 52046",625453841,"R"
201657,"406 SOUTH NC 111 HWY","CHINQUAPIN","NC",28521,NA,NA,157,"406 SOUTH NC 111 HWY, CHINQUAPIN, NC, 28521","No_Match",NA,NA,NA,NA
201658,"406 SPRUCE ALY","TULLAHOMA","TN",37388,35.3551440950001,-86.2105358759999,158,"406 SPRUCE ALY, TULLAHOMA, TN, 37388","Match","Non_Exact","406 SPRCE ALY, TULLAHOMA, TN, 37388",58235341,"L"
201659,"406 STATE HIGHWAY 25","HOLCOMB","MO",63852,NA,NA,159,"406 STATE HIGHWAY 25, HOLCOMB, MO, 63852","No_Match",NA,NA,NA,NA
201660,"406 STRONG ST","THOMASVILLE","GA",31792,30.8564828290001,-83.973502444,160,"406 STRONG ST, THOMASVILLE, GA, 31792","Match","Exact","406 STRONG ST, THOMASVILLE, GA, 31792",83104667,"L"
201661,"406 SUBURBAN DRIVE  149","NEWARK","DE",19711,39.6681996450001,-75.7766246899999,161,"406 SUBURBAN DRIVE  149, NEWARK, DE, 19711","Match","Exact","406 SUBURBAN DR, NEWARK, DE, 19711",635473549,"R"
201662,"406 SUNNYVIEW DRIVE","RILEYVILLE","VA",22650,38.7290606490001,-78.413145865,162,"406 SUNNYVIEW DRIVE, RILEYVILLE, VA, 22650","Match","Exact","406 SUNNYVIEW DR, RILEYVILLE, VA, 22650",29918949,"R"
201663,"406 SW HORRY AVE","MADISON","FL",32340,30.465015163,-83.4139726449999,163,"406 SW HORRY AVE, MADISON, FL, 32340","Match","Exact","406 SW HORRY AVE, MADISON, FL, 32340",53915733,"L"
201664,"406 SW SCHOOL STREET SUITE 310","ANKENY","IA",50023,NA,NA,164,"406 SW SCHOOL STREET SUITE 310, ANKENY, IA, 50023","Tie",NA,NA,NA,NA
201665,"406 SW SCHOOL STREET","ANKENY","IA",50023,41.7287003180001,-93.603239639,165,"406 SW SCHOOL STREET, ANKENY, IA, 50023","Match","Exact","406 SW SCHOOL ST, ANKENY, IA, 50023",65778469,"R"
201666,"406 TANNER TRCE","STOCKBRIDGE","GA",30281,33.517974273,-84.241500507,166,"406 TANNER TRCE, STOCKBRIDGE, GA, 30281","Match","Exact","406 TANNER TRCE, STOCKBRIDGE, GA, 30281",640023399,"R"
201667,"406 TARTAN WAY","ENTERPRISE","AL",36330,31.311487662,-85.880199771,167,"406 TARTAN WAY, ENTERPRISE, AL, 36330","Match","Non_Exact","406 TARTON WAY, ENTERPRISE, AL, 36330",650914646,"L"
201668,"406 TEXAS OAK DRIVE","ALPINE","TX",79830,30.2738878370001,-103.596882772,168,"406 TEXAS OAK DRIVE, ALPINE, TX, 79830","Match","Exact","406 TEXAS OAK DR, ALPINE, TX, 79830",184000432,"L"
201669,"406 TROPIC CIRCLE","FRUITLAND PARK","FL",34731,28.850586858,-81.9115214289999,169,"406 TROPIC CIRCLE, FRUITLAND PARK, FL, 34731","Match","Exact","406 TROPIC CIR, FRUITLAND PARK, FL, 34731",94097815,"R"
201670,"406 TURTLE CREEK DRIVE","SHREVEPORT","LA",71115,32.422404849,-93.7076906629999,170,"406 TURTLE CREEK DRIVE, SHREVEPORT, LA, 71115","Match","Exact","406 TURTLE CREEK DR, SHREVEPORT, LA, 71115",649030078,"L"
201671,"406 TUSCANY VALLEY DR","LAFAYETTE","LA",70506,NA,NA,171,"406 TUSCANY VALLEY DR, LAFAYETTE, LA, 70506","No_Match",NA,NA,NA,NA
201672,"406 VAN DREFF ST","SALMON","ID",83467,45.17521659,-113.89571867,172,"406 VAN DREFF ST, SALMON, ID, 83467","Match","Exact","406 VAN DREFF ST, SALMON, ID, 83467",135496926,"R"
201673,"406 VILLAGE PL","WEXFORD","PA",15090,40.6340379420001,-80.0533860629999,173,"406 VILLAGE PL, WEXFORD, PA, 15090","Match","Exact","406 VILLAGE PL, WEXFORD, PA, 15090",629838139,"R"
201674,"406 W 36TH ST","LUMBERTON","NC",28358,34.6429350490001,-79.011612633,174,"406 W 36TH ST, LUMBERTON, NC, 28358","Match","Exact","406 W 36TH ST, LUMBERTON, NC, 28358",49136713,"R"
201675,"406 W 7TH STREET","JASPER","IN",47546,38.392197083,-86.935529296,175,"406 W 7TH STREET, JASPER, IN, 47546","Match","Exact","406 W 7TH ST, JASPER, IN, 47546",7888594,"L"
201676,"406 W BEACON STREET","PHILADELPHIA","MS",39350,NA,NA,176,"406 W BEACON STREET, PHILADELPHIA, MS, 39350","Tie",NA,NA,NA,NA
201677,"406 W CARTER ST","CLINTON","NC",28328,35.0040544400001,-78.337884511,177,"406 W CARTER ST, CLINTON, NC, 28328","Match","Exact","406 W CARTER ST, CLINTON, NC, 28328",14252944,"L"
201678,"406 W FIFTH ST APT 16","BRENHAM","TX",77833,30.159021684,-96.399767448,178,"406 W FIFTH ST APT 16, BRENHAM, TX, 77833","Match","Non_Exact","406 W 5TH ST, BRENHAM, TX, 77833",39234975,"L"
201679,"406 W JOHNSON STREET","SPRING HILL","KS",66083,38.7417574990001,-94.8298542909999,179,"406 W JOHNSON STREET, SPRING HILL, KS, 66083","Match","Exact","406 W JOHNSON ST, SPRING HILL, KS, 66083",91264361,"R"
201680,"406 W MINNESOTA RD","PHARR","TX",78577,26.241055095,-98.18086619,180,"406 W MINNESOTA RD, PHARR, TX, 78577","Match","Exact","406 W MINNESOTA RD, PHARR, TX, 78577",71531540,"R"
201681,"406 W PULASKI HIGHWAY","ELKTON","MD",21921,39.6038773510001,-75.840414588,181,"406 W PULASKI HIGHWAY, ELKTON, MD, 21921","Match","Exact","406 W PULASKI HWY, ELKTON, MD, 21921",640554997,"R"
201682,"406 W SOUTH ST","GREENVILLE","MI",48838,43.17012842,-85.2590825939999,182,"406 W SOUTH ST, GREENVILLE, MI, 48838","Match","Exact","406 W SOUTH ST, GREENVILLE, MI, 48838",110567484,"L"
201683,"406 W SOUTH STREET","GREENVILLE","MI",48838,43.17012842,-85.2590825939999,183,"406 W SOUTH STREET, GREENVILLE, MI, 48838","Match","Exact","406 W SOUTH ST, GREENVILLE, MI, 48838",110567484,"L"
201684,"406 W TROUTMAN PKWY","FORT COLLINS","CO",80526,40.5293265620001,-105.083003075,184,"406 W TROUTMAN PKWY, FORT COLLINS, CO, 80526","Match","Exact","406 W TROUTMAN PKWY, FORT COLLINS, CO, 80526",188493935,"L"
201685,"406 WALNUT STREET","YORKVILLE","IL",60560,41.6528784130001,-88.439951083,185,"406 WALNUT STREET, YORKVILLE, IL, 60560","Match","Exact","406 WALNUT ST, YORKVILLE, IL, 60560",54492013,"R"
201686,"406 WASHINGTON AVE","ROANOKE","VA",24016,37.264255357,-79.949091287,186,"406 WASHINGTON AVE, ROANOKE, VA, 24016","Match","Non_Exact","406 WASHINGTON AVE SW, ROANOKE, VA, 24016",62909793,"L"
201687,"406 WASHINGTON AVE","WEST PLAINS","MO",65775,36.731141968,-91.852496174,187,"406 WASHINGTON AVE, WEST PLAINS, MO, 65775","Match","Exact","406 WASHINGTON AVE, WEST PLAINS, MO, 65775",33340389,"R"
