"ID","Address","City","State","Zip","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side"
201979,"407 TULIP AVENUE - APT 301","TAKOMA PARK","MD",20912,38.9761911460001,-77.011920533,479,"407 TULIP AVENUE - APT 301, TAKOMA PARK, MD, 20912","Match","Exact","407 TULIP AVE, TAKOMA PARK, MD, 20912",62068877,"R"
201980,"407 VINE STREET 211","CINCINNATI","OH",45202,39.1001396450001,-84.5127221179999,480,"407 VINE STREET 211, CINCINNATI, OH, 45202","Match","Exact","407 VINE ST, CINCINNATI, OH, 45202",103936567,"L"
201981,"407 W 26TH ST UNIT J","HOUSTON","TX",77008,NA,NA,481,"407 W 26TH ST UNIT J, HOUSTON, TX, 77008","Tie",NA,NA,NA,NA
201982,"407 W 280 N","BLACKFOOT","ID",83221,43.236965179,-112.376224829,482,"407 W 280 N, BLACKFOOT, ID, 83221","Match","Exact","407 W 280 N, BLACKFOOT, ID, 83221",130063582,"L"
201983,"407 W 9TH ST","DORCHESTER","NE",68343,40.648967665,-97.1177709679999,483,"407 W 9TH ST, DORCHESTER, NE, 68343","Match","Exact","407 W 9TH ST, DORCHESTER, NE, 68343",11665657,"R"
201984,"407 W GREEN ST APT 6","URBANA","IL",61801,40.110680863,-88.211952082,484,"407 W GREEN ST APT 6, URBANA, IL, 61801","Match","Non_Exact","407 W GREEN ST, URBANA, IL, 61801",8813120,"L"
201985,"407 W IMPERIAL HWY STE H227","BREA","CA",92821,33.9174728460001,-117.906032628,485,"407 W IMPERIAL HWY STE H227, BREA, CA, 92821","Match","Non_Exact","407 W IMPERIAL HWY, BREA, CA, 92821",609075750,"R"
201986,"407 W LAS TUNAS DR","SAN GABRIEL","CA",91776,34.102466872,-118.104762459,486,"407 W LAS TUNAS DR, SAN GABRIEL, CA, 91776","Match","Exact","407 W LAS TUNAS DR, SAN GABRIEL, CA, 91776",141633925,"R"
201987,"407 W MAIN 702","Huntsville","AR",72740,NA,NA,487,"407 W MAIN 702, Huntsville, AR, 72740","No_Match",NA,NA,NA,NA
201988,"407 W STATE ST","TRENTON","NJ",8618,40.225092762,-74.777805386,488,"407 W STATE ST, TRENTON, NJ, 8618","Match","Exact","407 W STATE ST, TRENTON, NJ, 08618",60224835,"L"
